id,name,location_lat,location_lng,SW,NE,categoryIdOfVenue,categoryTypeName
4c87ced42a1f6dcb3b0bc5ee,Bella Italia,55.6247236204,12.6248608536,"55.6229360180,12.6220137428","55.6247326871,12.6251958804",4bf58dd8d48988d110941735,Italian Restaurant
4ca1b83f19e4236a11236c89,Café Perlen,55.626222999999996,12.401644000000001,"55.6245530202,12.3986391068","55.6263496894,12.4018213756",4bf58dd8d48988d16d941735,Café
59b2af1fa6ec9849b35c7926,Burger Station,55.62525,12.454239999999999,"55.6245530202,12.4530534096","55.6263496894,12.4562356785",4bf58dd8d48988d16c941735,Burger Joint
4f9ec453e4b0614494a4d3db,Oasen Kebab,55.6263358514,12.453925823699999,"55.6245530202,12.4530534096","55.6263496894,12.4562356785",4bf58dd8d48988d16e941735,Fast Food Restaurant
4da6d0e36a230db30eca21b4,Café E,55.6260104167,12.468236447799999,"55.6245530202,12.4673729630","55.6263496894,12.4705552319",4bf58dd8d48988d16d941735,Café
4eab0d2d8b8180c90bac0eb7,Restaurant Halvleg,55.6249429977,12.4732569525,"55.6245530202,12.4702368737","55.6263496894,12.4734191426",4bf58dd8d48988d1c4941735,Restaurant
4db84e4c04376df9977213dd,Hvidovre - København Jagtforening,55.625424,12.496136,"55.6245530202,12.4931481591","55.6263496894,12.4963304280",4d4b7105d754a06374d81259,Food
55795ca2498e34d6337feeae,Spisestedet Troldanden,55.6258386329,12.495833713900002,"55.6245530202,12.4931481591","55.6263496894,12.4963304280",4bf58dd8d48988d1c4941735,Restaurant
57922beb498ea411957e5c89,La Strada Is,55.626324,12.498458,"55.6245530202,12.4960120698","55.6263496894,12.4991943386",4bf58dd8d48988d1c9941735,Ice Cream Shop
57bdd8b7498e301946e513eb,Susets Køkken,55.625243999999995,12.497041000000001,"55.6245530202,12.4960120698","55.6263496894,12.4991943386",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
5aef81aa2632ec002c395d7f,funzone,55.625824,12.574175,"55.6245530202,12.5733376581","55.6263496894,12.5765199269",4bf58dd8d48988d11d941735,Sports Bar
5c2ba091d03360002c7bffa9,Burger King - Ørestad,55.62607,12.57761,"55.6245530202,12.5762015688","55.6263496894,12.5793838376",4bf58dd8d48988d16e941735,Fast Food Restaurant
51d2922b498e525a4bbf3fa8,Kagehuset,55.6258,12.587588,"55.6245530202,12.5847933008","55.6263496894,12.5879755696",4bf58dd8d48988d16a941735,Bakery
506726d7e4b02bd343fc9bce,India Gate,55.625012283900006,12.604324451099998,"55.6245530202,12.6019767649","55.6263496894,12.6051590337",4bf58dd8d48988d10f941735,Indian Restaurant
5b76a96ac9f907002cc69890,Landevejsgrillen,55.625808,12.62453,"55.6245530202,12.6220241396","55.6263496894,12.6252064084",4bf58dd8d48988d16e941735,Fast Food Restaurant
58c13113dfa6ff70d6aa0ebb,The world's smallest Starbucks,55.625431000000006,12.649818,"55.6245530202,12.6477993357","55.6263496894,12.6509816045",4bf58dd8d48988d1e0931735,Coffee Shop
53e26961498ed727dca65add,Frihedens pizzaria,55.627288,12.479512,"55.6261700224,12.4788330957","55.6279666916,12.4820154959",4bf58dd8d48988d1ca941735,Pizza Place
5be322e8c58ed7002c9f7034,Steff's Place,55.62669399999999,12.483936,"55.6261700224,12.4816971245","55.6279666916,12.4848795247",4bf58dd8d48988d16f941735,Hot Dog Joint
4bfac0574a67c928adb128cf,Kong Kebab,55.626695353500004,12.4859831354,"55.6261700224,12.4845611534","55.6279666916,12.4877435535",4bf58dd8d48988d16e941735,Fast Food Restaurant
4dae9bfe4b229076786a4fc0,Cafe Hannemanns Alle,55.627102,12.570605,"55.6261700224,12.5676179896","55.6279666916,12.5708003897",4bf58dd8d48988d16d941735,Café
4e4e3ba1fa7626401e97d359,LA Diner,55.627832204700006,12.571477921400001,"55.6261700224,12.5704820184","55.6279666916,12.5736644185",4bf58dd8d48988d147941735,Diner
578e7423498eb6c5f3009817,Restaurant BARK,55.627285,12.577581,"55.6261700224,12.5762100761","55.6279666916,12.5793924762",4bf58dd8d48988d1c4941735,Restaurant
4bf2c9f320960f47d9a76e2f,STORM Restaurant,55.6268518404,12.5768479203,"55.6261700224,12.5762100761","55.6279666916,12.5793924762",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
57027f0ccd1003e8554b66cd,Orango Coffee,55.627430000000004,12.578114,"55.6261700224,12.5762100761","55.6279666916,12.5793924762",4bf58dd8d48988d16d941735,Café
5150738fe4b01f10cf9ecc6d,Steakhouse,55.627596999999994,12.576979,"55.6261700224,12.5762100761","55.6279666916,12.5793924762",4bf58dd8d48988d1cc941735,Steakhouse
4dae4f9ffa8cf04fbdfd5e25,Café Hannemann,55.627349413299996,12.579355820999998,"55.6261700224,12.5762100761","55.6279666916,12.5793924762",4bf58dd8d48988d16d941735,Café
4d9c2ca2f1f88cfaa85aed0e,Rambøll Køkkenet,55.626819,12.57949,"55.6261700224,12.5790741049","55.6279666916,12.5822565051",4bf58dd8d48988d147941735,Diner
5bddebb88b98fd002c5c4dd5,leonards restaurant,55.627832999999995,12.604619,"55.6261700224,12.6019863356","55.6279666916,12.6051687357",4bf58dd8d48988d1c4941735,Restaurant
4f2eb742e4b0620357dfa077,Super Bowl Central - Homeedition,55.6279529149,12.6051980432,"55.6261700224,12.6048503644","55.6279666916,12.6080327646",4bf58dd8d48988d1df931735,BBQ Joint
4fad0a69e4b06d18cc35cff1,København Café,55.627830118,12.64239507,"55.6261700224,12.6392187104","55.6279666916,12.6424011106",4bf58dd8d48988d16d941735,Café
55f1a436498e1f98f01c55b5,Segafredo Zanetti,55.6273053949,12.6421208144,"55.6261700224,12.6392187104","55.6279666916,12.6424011106",4bf58dd8d48988d16f941735,Hot Dog Joint
50336e7ee4b0a4a9789df2c8,grabandfly,55.6275889535,12.6453398648,"55.6261700224,12.6449467681","55.6279666916,12.6481291682",4bf58dd8d48988d1e0931735,Coffee Shop
582225e303fcb4757cdd498b,Starbucks Coffee Machine Gate B6,55.627802,12.645439999999999,"55.6261700224,12.6449467681","55.6279666916,12.6481291682",4bf58dd8d48988d16d941735,Café
522b02b611d22ffc2bec99a0,Copenhagen Cooking,55.6266052555,12.645292626,"55.6261700224,12.6449467681","55.6279666916,12.6481291682",4bf58dd8d48988d1c4941735,Restaurant
5170e98de4b0e30bab4577c9,Copenhagen Coffee,55.627257558500006,12.6454240131,"55.6261700224,12.6449467681","55.6279666916,12.6481291682",4bf58dd8d48988d1e0931735,Coffee Shop
59777d3ac824ae0a7d1cb6d3,Moritz,55.62693,12.648278,"55.6261700224,12.6478107969","55.6279666916,12.6509931971",4bf58dd8d48988d1e0931735,Coffee Shop
53f47f9e498e02e3a49c52f7,hallohello,55.626940000000005,12.648284,"55.6261700224,12.6478107969","55.6279666916,12.6509931971",4bf58dd8d48988d1c4941735,Restaurant
4e18ce976284ea7246fcb4b3,Kødfeber,55.6283333,12.394093,"55.6277870247,12.3929131760","55.6295836938,12.3960957075",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
4e99b0649a52ceeb884c29e5,Wongs Grill,55.6285162455,12.4812541367,"55.6277870247,12.4788375861","55.6295836938,12.4820201176",4bf58dd8d48988d16c941735,Burger Joint
4bba09cfb35776b0776dca01,Apex,55.628028,12.48677,"55.6277870247,12.4845658801","55.6295836938,12.4877484116",4bf58dd8d48988d1ca941735,Pizza Place
4c566b947329c928d2a98c80,Claes Bageri,55.6285926424,12.4862662494,"55.6277870247,12.4845658801","55.6295836938,12.4877484116",4bf58dd8d48988d16a941735,Bakery
4ff310c2e4b086f17853885c,Claes' Isbar,55.628776550299996,12.4862556458,"55.6277870247,12.4845658801","55.6295836938,12.4877484116",4bf58dd8d48988d1c9941735,Ice Cream Shop
4e23054cb0fbdf9ba7b9bc13,Apex Pizzaria,55.628732254,12.4861765681,"55.6277870247,12.4845658801","55.6295836938,12.4877484116",4bf58dd8d48988d16e941735,Fast Food Restaurant
55d20f7b498e4eca35c407a9,Gorm's Pizza,55.62930124020001,12.5786107779,"55.6277870247,12.5762185842","55.6295836938,12.5794011157",4bf58dd8d48988d1ca941735,Pizza Place
56b628f1498ecb17d343f043,Mediterranean Kitchen,55.629571,12.578478,"55.6277870247,12.5762185842","55.6295836938,12.5794011157",4bf58dd8d48988d1c0941735,Mediterranean Restaurant
5049c177e4b08baee5a04928,Ørestad Sandwich Kebab,55.629210023199995,12.579416800499999,"55.6277870247,12.5790827312","55.6295836938,12.5822652627",4bf58dd8d48988d1cb941735,Food Truck
4c289d8b9fb5d13aa7c79957,Jensens Mad,55.629115114300006,12.6228534395,"55.6277870247,12.6220449363","55.6295836938,12.6252274678",4bf58dd8d48988d16d941735,Café
4bd740cb5cf276b0a6de9a00,Milas,55.628223,12.622943,"55.6277870247,12.6220449363","55.6295836938,12.6252274678",4bf58dd8d48988d16e941735,Fast Food Restaurant
529dbe22498e81414245dd72,Cofoco Airport Solution,55.629491844899995,12.6229810574,"55.6277870247,12.6220449363","55.6295836938,12.6252274678",4bf58dd8d48988d128941735,Cafeteria
4ba201f9f964a5201bd637e3,O'Learys,55.628728858,12.644893527,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d14e941735,American Restaurant
5b55ea6c840fc2002c682470,Cock’s & Cows,55.628692,12.644455,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d16c941735,Burger Joint
4b55ecd9f964a520c9f627e3,Starbucks,55.628747028999996,12.645092010499999,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1e0931735,Coffee Shop
4fe828466b7488235068dbb2,MASH Steakhouse,55.628820798599996,12.644557577,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1cc941735,Steakhouse
5b98c08964c8e1002ceb8419,Arket Café,55.628765,12.644111,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d16d941735,Café
5b61495d535d6f002c1509b2,Lêlê Street Kitchen,55.628654000000004,12.644495,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d14a941735,Vietnamese Restaurant
58170aaf38facd634cab1c2a,O'Learys,55.6291787467,12.644899632000001,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d14e941735,American Restaurant
4d15748dbb64224b3698b465,Airport Deli,55.6288374329,12.6443719519,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d146941735,Deli / Bodega
5bec117704d1ae675569aca9,A. C. Perch’s Teashop,55.62855,12.645082,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1dc931735,Tea Room
5124769ee4b09cd3cece6ddc,Juice Bar,55.6288809196,12.6443070073,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d112941735,Juice Bar
568d61fa498ee07f2e8564cd,grabandfly,55.6288884793,12.6441559055,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d16f941735,Hot Dog Joint
51ebfddb498e1f30b5b9542c,YamYam,55.629309821499994,12.644867993800002,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d142941735,Asian Restaurant
59ee1db1840fc25112ace2d1,Somelier,55.628130000000006,12.642965,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1c4941735,Restaurant
58d20bd38ab03f3add75943c,HMS HOST Autogrill Grab & fly T2,55.628199,12.642776,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1c5941735,Sandwich Place
4ddea8b1227106a58b90ff35,Hvordan Skal,55.629073999999996,12.644217999999999,"55.6277870247,12.6420939653","55.6295836938,12.6452764968",4bf58dd8d48988d1cc941735,Steakhouse
4d6cfd39183a236aa9245a3a,Lagkagehuset,55.6284617612,12.646691354000001,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d16a941735,Bakery
4c1f148e920076b0204ac4e9,JOE & THE JUICE,55.6283088171,12.647929661900001,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d112941735,Juice Bar
5a82b634fd9d733314fd1cd6,Pret A Manger,55.6290482649,12.646277143299999,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1c5941735,Sandwich Place
50d1a1f8e4b0935b08ce5196,Le Sommelier,55.628675,12.645622999999999,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d116941735,Bar
554b3488498e23b054ceea83,Aamans Copenhagen Airport,55.6283673637,12.6476356139,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
5b2f59000d8a0f002c65a609,Wok,55.629012,12.6471,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d149941735,Thai Restaurant
59d34ea75ba0467e9268ef99,Riccos kaffebar,55.628985,12.64776,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d16d941735,Café
514aa5bce4b0b8f969b39da1,Baresso Coffee,55.6286549504,12.6456662353,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1e0931735,Coffee Shop
5be871fedb2aeb002cf7a452,Espresso House,55.628578000000005,12.645798,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1e0931735,Coffee Shop
4ba2498df964a520ffe937e3,Restaurant København,55.628389831599996,12.647609918099999,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
5a0db0e4bb2a4740242346c7,42RAW,55.6289530247,12.647595631600002,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
4b8520c7f964a5201d4d31e3,Eyecon Bar,55.628667799999995,12.6454425027,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d116941735,Bar
50531c0ae4b0e7a976a9c6cb,CPH Nordic dining,55.628428,12.647164,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
5c4fec400d173f002caef6b9,Smørrebrød,55.62829,12.647758999999999,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
4e9eeb4530f8fb67761fff05,The Sportsbar,55.628640546899994,12.6453752618,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d14e941735,American Restaurant
5024d95ce4b0ea30b59e5d7c,Ars,55.6287432,12.645962800000001,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d120951735,Food Court
4c412807cc410f47f0e1aa61,Crystal,55.628611,12.646355,"55.6277870247,12.6449581123","55.6295836938,12.6481406438",4bf58dd8d48988d1e0931735,Coffee Shop
4af7dcc9f964a5206e0a22e3,Starbucks,55.6286311787,12.6498431321,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1e0931735,Coffee Shop
538fef8f498efe9a0e6aab5c,JOE & THE JUICE,55.628186,12.649701,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d112941735,Juice Bar
5524ab4d498e087558161fa3,Gorm's,55.6284345658,12.6483283271,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1ca941735,Pizza Place
4dc6c199d22dafda2fc4e5d8,Starbucks,55.6282589897,12.6491520767,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1e0931735,Coffee Shop
525a299f498e4ee0b4d93a59,Lagkagehuset,55.6281831263,12.6500064426,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d16a941735,Bakery
54f4a3cb498ef304a8cfcd37,Yo! Sushi,55.6282955349,12.6488856203,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1d2941735,Sushi Restaurant
4b40d23bf964a52096bb25e3,Burger King,55.629396015699996,12.6493121403,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d16e941735,Fast Food Restaurant
580b9ad638fa2adcc2a22550,Paté Paté,55.628534699300005,12.6492239252,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1db931735,Tapas Restaurant
4cc82cd594e1a0933ed0958b,Steff's Place,55.6281501634,12.650037465999999,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d16f941735,Hot Dog Joint
4bffbc1cf61ea593fea5ea13,Caviar House & Prunier,55.6282695073,12.649142294,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1ce941735,Seafood Restaurant
55f19eb1498ede497c34dc0b,Murphy's,55.628251758699996,12.6497761692,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",52e81612bcbc57f1066b7a06,Irish Pub
5a61dff965cdf8350b8359d9,Joe & The Juice - Terminal 2,55.628190000000004,12.650066,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d112941735,Juice Bar
58be4dba5cab2f2d2cdea14f,ReTreat,55.6283814872,12.6483150798,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d1e0931735,Coffee Shop
59c2511881635b51ab7da513,JOE & THE JUICE,55.628739,12.648639,"55.6277870247,12.6478222593","55.6295836938,12.6510047908",4bf58dd8d48988d112941735,Juice Bar
